camera	frame	cX	cY	area	minI	maxI	meanI
right	109	294	155	2.0	112.0	133.0	118.5
left	110	360	153	2.0	124.0	164.0	138.5
right	110	121	65	1.0	115.0	148.0	130.0
right	110	294	155	2.0	112.0	133.0	118.5
left	111	360	153	4.0	113.0	163.0	137.44444444444443
right	111	121	65	1.0	115.0	148.0	130.0
right	111	294	155	2.0	112.0	133.0	118.5
left	112	360	153	4.0	113.0	163.0	137.44444444444443
right	112	120	65	1.5	119.0	131.0	120.80000000000001
right	112	295	155	2.5	114.0	155.0	128.0
left	113	360	153	4.0	113.0	163.0	137.44444444444443
right	113	120	65	1.5	119.0	131.0	120.80000000000001
right	113	295	155	2.5	114.0	155.0	128.0
left	114	360	153	4.0	113.0	163.0	137.44444444444443
right	114	120	65	1.5	119.0	131.0	120.80000000000001
right	114	295	155	2.5	114.0	155.0	128.0
left	115	360	153	2.0	124.0	158.0	143.83333333333331
right	115	120	65	1.5	119.0	131.0	120.80000000000001
right	115	295	155	2.5	114.0	155.0	128.0
left	116	360	153	2.0	124.0	158.0	143.83333333333331
right	116	120	65	2.0	115.0	137.0	125.33333333333333
right	116	295	155	1.0	120.0	137.0	125.75
left	117	360	153	2.0	124.0	158.0	143.83333333333331
right	117	120	65	2.0	115.0	137.0	125.33333333333333
right	117	295	155	1.0	120.0	137.0	125.75
left	118	360	153	2.0	124.0	158.0	143.83333333333331
right	118	120	65	2.0	115.0	137.0	125.33333333333333
right	118	295	155	1.0	120.0	137.0	125.75
left	119	360	153	3.5	114.0	147.0	129.125
right	119	120	65	2.5	113.0	142.0	123.14285714285714
right	119	295	155	1.0	115.0	138.0	121.0
left	120	360	153	3.5	114.0	147.0	129.125
right	120	120	65	2.5	113.0	142.0	123.14285714285714
right	120	295	155	1.0	115.0	138.0	121.0
left	121	360	153	3.5	114.0	147.0	129.125
right	121	120	65	2.5	113.0	142.0	123.14285714285714
right	121	295	155	1.0	115.0	138.0	121.0
left	122	360	153	3.5	114.0	147.0	129.125
right	122	120	65	2.5	113.0	142.0	123.14285714285714
right	122	295	155	1.0	115.0	138.0	121.0
left	123	360	153	2.5	114.0	173.0	141.28571428571428
right	123	120	65	1.5	114.0	134.0	119.80000000000001
right	123	295	154	2.0	119.0	142.0	124.5
left	124	360	153	2.5	114.0	173.0	141.28571428571428
right	124	120	65	1.5	114.0	134.0	119.80000000000001
right	124	295	154	2.0	119.0	142.0	124.5
left	125	360	153	2.5	114.0	173.0	141.28571428571428
right	125	120	65	1.5	114.0	134.0	119.80000000000001
right	125	295	154	2.0	119.0	142.0	124.5
left	126	360	153	4.0	120.0	165.0	136.11111111111111
right	126	120	65	1.5	114.0	134.0	119.80000000000001
right	126	295	154	2.0	119.0	142.0	124.5
left	127	360	153	4.0	120.0	165.0	136.11111111111111
right	127	120	65	2.0	114.0	134.0	121.16666666666666
right	127	294	155	2.5	121.0	148.0	133.33333333333331
left	128	360	153	4.0	120.0	165.0	136.11111111111111
right	128	120	65	2.0	114.0	134.0	121.16666666666666
right	128	294	155	2.5	121.0	148.0	133.33333333333331
left	129	360	153	4.0	120.0	165.0	136.11111111111111
right	129	120	65	2.0	114.0	134.0	121.16666666666666
right	129	294	155	2.5	121.0	148.0	133.33333333333331
left	130	360	153	3.5	122.0	155.0	137.5
right	130	120	65	2.0	114.0	134.0	121.16666666666666
right	130	294	155	2.5	121.0	148.0	133.33333333333331
left	131	360	153	3.5	122.0	155.0	137.5
right	131	120	65	0.5	113.0	137.0	122.75
right	131	295	155	3.0	113.0	162.0	127.42857142857142
left	132	360	153	3.5	122.0	155.0	137.5
right	132	120	65	0.5	113.0	137.0	122.75
right	132	295	155	3.0	113.0	162.0	127.42857142857142
left	133	360	153	3.5	122.0	155.0	137.5
right	133	120	65	0.5	113.0	137.0	122.75
right	133	295	155	3.0	113.0	162.0	127.42857142857142
left	134	360	153	3.5	116.0	162.0	137.75
right	134	120	65	2.5	115.0	137.0	124.85714285714285
right	134	295	155	2.0	113.0	158.0	129.66666666666666
left	135	360	153	3.5	116.0	162.0	137.75
right	135	120	65	2.5	115.0	137.0	124.85714285714285
right	135	295	155	2.0	113.0	158.0	129.66666666666666
left	136	360	153	3.5	116.0	162.0	137.75
right	136	120	65	2.5	115.0	137.0	124.85714285714285
right	136	295	155	2.0	113.0	158.0	129.66666666666666
left	137	360	153	3.5	116.0	162.0	137.75
right	137	120	65	2.5	115.0	137.0	124.85714285714285
right	137	295	155	2.0	113.0	158.0	129.66666666666666
left	138	360	153	4.0	113.0	169.0	137.0
right	138	120	65	1.5	116.0	140.0	118.4
right	138	294	155	2.5	114.0	162.0	129.66666666666666
left	139	360	153	4.0	113.0	169.0	137.0
right	139	120	65	1.5	116.0	140.0	118.4
right	139	294	155	2.5	114.0	162.0	129.66666666666666
left	140	360	153	4.0	113.0	169.0	137.0
right	140	120	65	1.5	116.0	140.0	118.4
right	140	294	155	2.5	114.0	162.0	129.66666666666666
left	141	359	153	3.5	114.0	163.0	129.625
right	141	120	65	1.5	116.0	140.0	118.4
right	141	294	155	2.5	114.0	162.0	129.66666666666666
left	142	359	153	3.5	114.0	163.0	129.625
right	142	120	65	2.0	116.0	148.0	126.5
right	142	294	155	3.5	114.0	169.0	137.125
left	143	359	153	3.5	114.0	163.0	129.625
right	143	120	65	2.0	116.0	148.0	126.5
right	143	294	155	3.5	114.0	169.0	137.125
left	144	359	153	3.5	114.0	163.0	129.625
right	144	120	65	2.0	116.0	148.0	126.5
right	144	294	155	3.5	114.0	169.0	137.125
left	145	360	153	3.0	114.0	165.0	131.0
right	145	120	65	2.0	116.0	148.0	126.5
right	145	294	155	3.5	114.0	169.0	137.125
left	146	360	153	3.0	114.0	165.0	131.0
right	146	120	65	2.0	113.0	150.0	125.375
right	146	295	155	3.5	114.0	172.0	134.375
left	147	360	153	3.0	114.0	165.0	131.0
right	147	120	65	2.0	113.0	150.0	125.375
right	147	295	155	3.5	114.0	172.0	134.375
left	148	360	153	3.0	114.0	165.0	131.0
right	148	120	65	2.0	113.0	150.0	125.375
right	148	295	155	3.5	114.0	172.0	134.375
left	149	360	153	3.5	120.0	173.0	137.75
