	camera	frame	cX	cY	area	minI	maxI	meanI	pulse
14	left	39	360	93	3.5	112.0	151.0	128.5	p1
15	left	40	360	93	3.5	110.0	152.0	129.5	p1
16	left	41	360	93	3.5	110.0	152.0	129.5	p1
17	left	42	360	93	3.5	110.0	152.0	129.5	p1
18	left	43	360	93	3.5	110.0	152.0	129.5	p1
19	left	44	360	93	2.0	120.0	134.0	125.0	p1
20	left	45	360	93	2.0	120.0	134.0	125.0	p1
21	left	46	360	93	2.0	120.0	134.0	125.0	p1
564	right	577	290	379	2.5	120.0	147.0	127.85714285714285	p10
565	right	578	290	379	2.5	120.0	147.0	127.85714285714285	p10
566	right	579	290	379	2.5	120.0	147.0	127.85714285714285	p10
567	right	580	290	379	2.5	120.0	147.0	127.85714285714285	p10
568	right	581	290	379	2.5	113.0	155.0	133.42857142857142	p10
569	right	582	290	379	2.5	113.0	155.0	133.42857142857142	p10
570	right	583	290	379	2.5	113.0	155.0	133.42857142857142	p10
571	right	584	290	379	2.5	113.0	155.0	133.42857142857142	p10
575	right	585	291	379	2.0	109.0	162.0	130.0	p10
576	right	586	291	379	2.0	109.0	162.0	130.0	p10
577	right	587	291	379	2.0	109.0	162.0	130.0	p10
578	right	588	291	379	2.0	109.0	162.0	130.0	p10
572	right	589	290	379	1.5	113.0	159.0	125.8	p10
573	right	590	290	379	1.5	113.0	159.0	125.8	p10
574	right	591	290	379	1.5	113.0	159.0	125.8	p10
579	right	592	291	380	1.0	108.0	166.0	131.5	p10
580	right	593	291	380	1.0	108.0	166.0	131.5	p10
581	right	594	291	380	1.0	108.0	166.0	131.5	p10
582	right	595	291	380	1.0	108.0	166.0	131.5	p10
625	right	600	290	379	1.0	115.0	155.0	129.75	p10
626	right	601	290	379	1.0	115.0	155.0	129.75	p10
627	right	602	290	379	1.0	115.0	155.0	129.75	p10
628	right	603	290	379	1.0	115.0	155.0	129.75	p10
629	right	604	290	379	1.5	112.0	135.0	118.0	p10
630	right	605	290	379	1.5	112.0	135.0	118.0	p10
631	right	606	290	379	1.5	112.0	135.0	118.0	p10
632	right	607	290	379	2.0	114.0	158.0	131.16666666666666	p10
633	right	608	290	379	2.0	114.0	158.0	131.16666666666666	p10
634	right	609	290	379	2.0	114.0	158.0	131.16666666666666	p10
635	right	610	290	379	2.0	114.0	158.0	131.16666666666666	p10
636	right	611	290	379	2.0	116.0	162.0	135.83333333333331	p10
637	right	612	290	379	2.0	116.0	162.0	135.83333333333331	p10
638	right	613	290	379	2.0	116.0	162.0	135.83333333333331	p10
639	right	614	290	379	2.0	116.0	162.0	135.83333333333331	p10
621	right	615	289	379	5.0	110.0	148.0	123.1	p10
622	right	616	289	379	5.0	110.0	148.0	123.1	p10
623	right	617	289	379	5.0	110.0	148.0	123.1	p10
624	right	618	289	379	5.0	110.0	148.0	123.1	p10
640	right	619	290	379	4.5	112.0	165.0	136.9	p10
641	right	620	290	379	4.5	112.0	165.0	136.9	p10
642	right	621	290	379	4.5	112.0	165.0	136.9	p10
598	right	622	289	378	4.5	108.0	150.0	127.7	p10
599	right	623	289	378	4.5	108.0	150.0	127.7	p10
600	right	624	289	378	4.5	108.0	150.0	127.7	p10
601	right	625	289	378	4.5	108.0	150.0	127.7	p10
602	right	626	289	378	3.5	108.0	147.0	122.0	p10
603	right	627	289	378	3.5	108.0	147.0	122.0	p10
604	right	628	289	378	3.5	108.0	147.0	122.0	p10
605	right	629	289	378	3.5	108.0	147.0	122.0	p10
606	right	630	289	378	1.0	115.0	128.0	120.75	p10
607	right	631	289	378	1.0	115.0	128.0	120.75	p10
608	right	632	289	378	1.0	115.0	128.0	120.75	p10
609	right	633	289	378	1.0	115.0	128.0	120.75	p10
614	right	634	290	378	1.0	115.0	133.0	120.0	p10
615	right	635	290	378	1.0	115.0	133.0	120.0	p10
616	right	636	290	378	1.0	115.0	133.0	120.0	p10
617	right	637	290	378	1.0	112.0	140.0	121.25	p10
618	right	638	290	378	1.0	112.0	140.0	121.25	p10
619	right	639	290	378	1.0	112.0	140.0	121.25	p10
620	right	640	290	378	1.0	112.0	140.0	121.25	p10
590	right	641	288	377	1.0	131.0	143.0	137.0	p10
591	right	642	288	377	1.0	131.0	143.0	137.0	p10
592	right	643	288	377	1.0	131.0	143.0	137.0	p10
593	right	644	288	377	1.0	131.0	143.0	137.0	p10
583	right	645	288	376	3.0	114.0	155.0	130.28571428571428	p10
584	right	646	288	376	3.0	114.0	155.0	130.28571428571428	p10
585	right	647	288	376	3.0	114.0	155.0	130.28571428571428	p10
586	right	648	288	376	3.0	114.0	155.0	130.28571428571428	p10
587	right	649	287	377	1.5	108.0	141.0	121.8	p10
588	right	650	287	377	1.5	108.0	141.0	121.8	p10
589	right	651	287	377	1.5	108.0	141.0	121.8	p10
594	right	652	288	378	0.5	119.0	130.0	118.66666666666666	p10
595	right	653	288	378	0.5	119.0	130.0	118.66666666666666	p10
596	right	654	288	378	0.5	119.0	130.0	118.66666666666666	p10
597	right	655	288	378	0.5	119.0	130.0	118.66666666666666	p10
610	right	656	289	378	0.5	108.0	133.0	119.0	p10
611	right	657	289	378	0.5	108.0	133.0	119.0	p10
612	right	658	289	378	0.5	108.0	133.0	119.0	p10
613	right	659	289	378	0.5	108.0	133.0	119.0	p10
643	right	694	287	430	5.5	109.0	159.0	126.1818181818182	p11
644	right	695	287	430	5.5	109.0	159.0	126.1818181818182	p11
645	right	696	287	430	5.5	109.0	159.0	126.1818181818182	p11
646	right	697	287	430	2.5	109.0	150.0	128.42857142857142	p11
647	right	698	287	430	2.5	109.0	150.0	128.42857142857142	p11
648	right	699	287	430	2.5	109.0	150.0	128.42857142857142	p11
649	right	700	287	430	2.5	109.0	150.0	128.42857142857142	p11
654	right	701	287	431	5.0	110.0	149.0	124.1	p11
655	right	702	287	431	5.0	110.0	149.0	124.1	p11
656	right	703	287	431	5.0	110.0	149.0	124.1	p11
657	right	704	287	431	5.0	110.0	149.0	124.1	p11
650	right	705	286	431	2.5	119.0	138.0	121.71428571428572	p11
651	right	706	286	431	2.5	119.0	138.0	121.71428571428572	p11
652	right	707	286	431	2.5	119.0	138.0	121.71428571428572	p11
653	right	708	286	431	2.5	119.0	138.0	121.71428571428572	p11
658	right	724	286	432	1.0	120.0	135.0	122.5	p11
659	right	725	286	432	1.0	120.0	135.0	122.5	p11
660	right	726	286	432	1.0	120.0	135.0	122.5	p11
661	right	727	286	432	1.0	113.0	124.0	112.25	p11
662	right	728	286	432	1.0	113.0	124.0	112.25	p11
663	right	729	286	432	1.0	113.0	124.0	112.25	p11
664	right	730	286	432	1.0	113.0	124.0	112.25	p11
665	right	731	286	432	1.5	113.0	131.0	120.4	p11
666	right	732	286	432	1.5	113.0	131.0	120.4	p11
667	right	733	286	432	1.5	113.0	131.0	120.4	p11
668	right	734	286	432	1.5	113.0	131.0	120.4	p11
669	right	735	286	432	0.5	108.0	124.0	110.0	p11
670	right	736	286	432	0.5	108.0	124.0	110.0	p11
671	right	737	286	432	0.5	108.0	124.0	110.0	p11
672	right	738	286	432	0.5	108.0	124.0	110.0	p11
673	right	742	286	432	1.0	115.0	134.0	119.5	p11
674	right	743	286	432	1.0	115.0	134.0	119.5	p11
675	right	744	286	432	1.0	115.0	134.0	119.5	p11
676	right	745	286	432	1.0	115.0	134.0	119.5	p11
677	right	746	286	432	1.0	112.0	136.0	118.75	p11
678	right	747	286	432	1.0	112.0	136.0	118.75	p11
679	right	748	286	432	1.0	112.0	136.0	118.75	p11
680	right	749	286	432	1.0	112.0	136.0	118.75	p11
681	right	754	285	431	1.0	110.0	124.0	111.0	p11
682	right	755	285	431	1.0	110.0	124.0	111.0	p11
683	right	756	285	431	1.0	110.0	124.0	111.0	p11
684	right	765	337	451	1.0	109.0	124.0	110.75	p12
685	right	766	337	451	1.0	109.0	124.0	110.75	p12
686	right	767	337	451	1.0	109.0	124.0	110.75	p12
687	right	768	337	451	1.0	109.0	124.0	110.75	p12
758	left	209	360	212	2.0	133.0	163.0	141.83333333333331	p13
759	left	210	360	212	2.0	133.0	163.0	141.83333333333331	p13
760	left	211	360	212	2.0	133.0	163.0	141.83333333333331	p13
761	left	212	360	212	2.0	133.0	163.0	141.83333333333331	p13
688	left	213	359	211	3.0	110.0	154.0	126.85714285714285	p13
689	left	214	359	211	3.0	110.0	154.0	126.85714285714285	p13
690	left	215	359	211	3.0	110.0	154.0	126.85714285714285	p13
702	left	216	359	212	3.5	114.0	173.0	131.125	p13
703	left	217	359	212	3.5	114.0	173.0	131.125	p13
704	left	218	359	212	3.5	114.0	173.0	131.125	p13
705	left	219	359	212	3.5	114.0	173.0	131.125	p13
706	left	220	359	212	3.5	109.0	164.0	132.875	p13
707	left	221	359	212	3.5	109.0	164.0	132.875	p13
708	left	222	359	212	3.5	109.0	164.0	132.875	p13
709	left	223	359	212	3.5	109.0	164.0	132.875	p13
762	left	224	360	212	3.0	115.0	173.0	134.14285714285714	p13
763	left	225	360	212	3.0	115.0	173.0	134.14285714285714	p13
764	left	226	360	212	3.0	115.0	173.0	134.14285714285714	p13
765	left	227	360	212	3.0	115.0	173.0	134.14285714285714	p13
710	left	228	359	212	3.5	108.0	173.0	135.0	p13
711	left	229	359	212	3.5	108.0	173.0	135.0	p13
712	left	230	359	212	3.5	108.0	173.0	135.0	p13
766	left	231	360	212	3.0	117.0	164.0	134.0	p13
767	left	232	360	212	3.0	117.0	164.0	134.0	p13
768	left	233	360	212	3.0	117.0	164.0	134.0	p13
769	left	234	360	212	3.0	117.0	164.0	134.0	p13
713	left	235	359	212	5.0	108.0	182.0	130.9	p13
714	left	236	359	212	5.0	108.0	182.0	130.9	p13
715	left	237	359	212	5.0	108.0	182.0	130.9	p13
716	left	238	359	212	5.0	108.0	182.0	130.9	p13
717	left	239	359	212	2.5	116.0	154.0	132.5	p13
718	left	240	359	212	2.5	116.0	154.0	132.5	p13
719	left	241	359	212	2.5	116.0	154.0	132.5	p13
720	left	242	359	212	2.5	116.0	154.0	132.5	p13
721	left	243	359	212	4.5	110.0	154.0	125.33333333333331	p13
722	left	244	359	212	4.5	110.0	154.0	125.33333333333331	p13
723	left	245	359	212	4.5	110.0	154.0	125.33333333333331	p13
691	left	246	359	211	4.0	109.0	164.0	129.0	p13
692	left	247	359	211	4.0	109.0	164.0	129.0	p13
693	left	248	359	211	4.0	109.0	164.0	129.0	p13
694	left	249	359	211	4.0	109.0	164.0	129.0	p13
724	left	250	359	212	3.5	114.0	171.0	140.125	p13
725	left	251	359	212	3.5	114.0	171.0	140.125	p13
726	left	252	359	212	3.5	114.0	171.0	140.125	p13
727	left	253	359	212	3.5	114.0	171.0	140.125	p13
695	left	254	359	211	2.0	108.0	165.0	134.5	p13
696	left	255	359	211	2.0	108.0	165.0	134.5	p13
697	left	256	359	211	2.0	108.0	165.0	134.5	p13
698	left	257	359	211	2.0	108.0	165.0	134.5	p13
699	left	258	359	211	3.0	113.0	166.0	131.7142857142857	p13
700	left	259	359	211	3.0	113.0	166.0	131.7142857142857	p13
701	left	260	359	211	3.0	113.0	166.0	131.7142857142857	p13
728	left	261	359	212	4.0	112.0	157.0	128.5	p13
729	left	262	359	212	4.0	112.0	157.0	128.5	p13
730	left	263	359	212	4.0	112.0	157.0	128.5	p13
731	left	264	359	212	4.0	112.0	157.0	128.5	p13
732	left	265	359	212	4.0	110.0	161.0	127.55555555555554	p13
733	left	266	359	212	4.0	110.0	161.0	127.55555555555554	p13
734	left	267	359	212	4.0	110.0	161.0	127.55555555555554	p13
735	left	268	359	212	4.0	110.0	161.0	127.55555555555554	p13
736	left	269	359	212	3.5	109.0	168.0	130.125	p13
737	left	270	359	212	3.5	109.0	168.0	130.125	p13
738	left	271	359	212	3.5	109.0	168.0	130.125	p13
739	left	272	359	212	3.5	109.0	168.0	130.125	p13
740	left	273	359	212	1.0	136.0	152.0	142.5	p13
741	left	274	359	212	1.0	136.0	152.0	142.5	p13
742	left	275	359	212	1.0	136.0	152.0	142.5	p13
743	left	276	359	212	1.5	109.0	162.0	140.0	p13
744	left	277	359	212	1.5	109.0	162.0	140.0	p13
745	left	278	359	212	1.5	109.0	162.0	140.0	p13
746	left	279	359	212	1.5	109.0	162.0	140.0	p13
747	left	280	359	212	3.5	114.0	156.0	130.125	p13
748	left	281	359	212	3.5	114.0	156.0	130.125	p13
749	left	282	359	212	3.5	114.0	156.0	130.125	p13
750	left	283	359	212	3.5	114.0	156.0	130.125	p13
751	left	284	359	212	5.0	114.0	158.0	127.9	p13
752	left	285	359	212	5.0	114.0	158.0	127.9	p13
753	left	286	359	212	5.0	114.0	158.0	127.9	p13
754	left	287	359	212	5.0	114.0	158.0	127.9	p13
755	left	288	359	212	3.5	109.0	159.0	129.625	p13
756	left	289	359	212	3.5	109.0	159.0	129.625	p13
757	left	290	359	212	3.5	109.0	159.0	129.625	p13
770	left	329	358	269	1.0	108.0	128.0	116.5	p14
771	left	330	358	269	1.0	108.0	128.0	116.5	p14
772	left	331	358	269	1.0	108.0	128.0	116.5	p14
773	left	332	358	269	1.0	108.0	128.0	116.5	p14
774	left	333	358	269	2.5	114.0	162.0	126.5	p14
775	left	334	358	269	2.5	114.0	162.0	126.5	p14
776	left	335	358	269	2.5	114.0	162.0	126.5	p14
777	left	336	358	269	2.5	114.0	162.0	126.5	p14
778	left	337	358	269	2.0	112.0	136.0	117.33333333333331	p14
779	left	338	358	269	2.0	112.0	136.0	117.33333333333331	p14
780	left	339	358	269	2.0	112.0	136.0	117.33333333333331	p14
781	left	340	358	269	2.0	108.0	154.0	129.0	p14
782	left	341	358	269	2.0	108.0	154.0	129.0	p14
783	left	342	358	269	2.0	108.0	154.0	129.0	p14
784	left	343	358	269	2.0	108.0	154.0	129.0	p14
785	left	344	358	269	1.0	122.0	134.0	126.0	p14
786	left	345	358	269	1.0	122.0	134.0	126.0	p14
787	left	346	358	269	1.0	122.0	134.0	126.0	p14
788	left	347	358	269	1.0	122.0	134.0	126.0	p14
796	left	348	358	270	1.5	109.0	142.0	121.4	p14
797	left	349	358	270	1.5	109.0	142.0	121.4	p14
798	left	350	358	270	1.5	109.0	142.0	121.4	p14
799	left	351	358	270	1.5	109.0	142.0	121.4	p14
789	left	352	358	269	2.0	110.0	145.0	123.83333333333331	p14
790	left	353	358	269	2.0	110.0	145.0	123.83333333333331	p14
791	left	354	358	269	2.0	110.0	145.0	123.83333333333331	p14
792	left	355	358	269	2.5	113.0	158.0	128.33333333333331	p14
793	left	356	358	269	2.5	113.0	158.0	128.33333333333331	p14
794	left	357	358	269	2.5	113.0	158.0	128.33333333333331	p14
795	left	358	358	269	2.5	113.0	158.0	128.33333333333331	p14
804	left	359	358	270	2.5	115.0	147.0	122.33333333333331	p14
805	left	360	358	270	2.5	115.0	147.0	122.33333333333331	p14
806	left	361	358	270	2.5	115.0	147.0	122.33333333333331	p14
807	left	362	358	270	2.5	115.0	147.0	122.33333333333331	p14
800	left	363	358	269	2.0	109.0	154.0	126.66666666666666	p14
801	left	364	358	269	2.0	109.0	154.0	126.66666666666666	p14
802	left	365	358	269	2.0	109.0	154.0	126.66666666666666	p14
803	left	366	358	269	2.0	109.0	154.0	126.66666666666666	p14
808	left	359	357	326	0.5	119.0	133.0	121.33333333333331	p15
809	left	360	357	326	0.5	119.0	133.0	121.33333333333331	p15
810	left	361	357	326	0.5	119.0	133.0	121.33333333333331	p15
811	left	362	357	326	0.5	119.0	133.0	121.33333333333331	p15
812	left	367	358	269	3.5	109.0	164.0	127.375	p16
813	left	368	358	269	3.5	109.0	164.0	127.375	p16
814	left	369	358	269	3.5	109.0	164.0	127.375	p16
815	left	370	358	269	3.0	115.0	144.0	121.42857142857142	p16
816	left	371	358	269	3.0	115.0	144.0	121.42857142857142	p16
817	left	372	358	269	3.0	115.0	144.0	121.42857142857142	p16
818	left	373	358	269	3.0	115.0	144.0	121.42857142857142	p16
819	left	367	357	326	1.0	112.0	134.0	119.25	p17
820	left	368	357	326	1.0	112.0	134.0	119.25	p17
821	left	369	357	326	1.0	112.0	134.0	119.25	p17
833	left	374	358	269	1.5	108.0	143.0	120.0	p18
834	left	375	358	269	1.5	108.0	143.0	120.0	p18
835	left	376	358	269	1.5	108.0	143.0	120.0	p18
836	left	377	358	269	1.5	108.0	143.0	120.0	p18
837	left	378	358	269	2.5	109.0	159.0	127.5	p18
838	left	379	358	269	2.5	109.0	159.0	127.5	p18
839	left	380	358	269	2.5	109.0	159.0	127.5	p18
840	left	381	358	269	2.5	109.0	159.0	127.5	p18
822	left	382	357	269	1.5	108.0	154.0	127.6	p18
823	left	383	357	269	1.5	108.0	154.0	127.6	p18
824	left	384	357	269	1.5	108.0	154.0	127.6	p18
825	left	385	357	269	1.5	110.0	157.0	126.4	p18
826	left	386	357	269	1.5	110.0	157.0	126.4	p18
827	left	387	357	269	1.5	110.0	157.0	126.4	p18
828	left	388	357	269	1.5	110.0	157.0	126.4	p18
829	left	389	357	269	2.5	109.0	148.0	126.33333333333331	p18
830	left	390	357	269	2.5	109.0	148.0	126.33333333333331	p18
831	left	391	357	269	2.5	109.0	148.0	126.33333333333331	p18
832	left	392	357	269	2.5	109.0	148.0	126.33333333333331	p18
841	left	393	358	269	3.0	116.0	162.0	129.0	p18
842	left	394	358	269	3.0	116.0	162.0	129.0	p18
843	left	395	358	269	3.0	116.0	162.0	129.0	p18
844	left	396	358	269	3.0	116.0	162.0	129.0	p18
845	left	397	358	269	4.0	112.0	152.0	122.88888888888889	p18
846	left	398	358	269	4.0	112.0	152.0	122.88888888888889	p18
847	left	399	358	269	4.0	112.0	152.0	122.88888888888889	p18
856	left	400	358	270	3.0	108.0	147.0	119.71428571428572	p18
857	left	401	358	270	3.0	108.0	147.0	119.71428571428572	p18
858	left	402	358	270	3.0	108.0	147.0	119.71428571428572	p18
859	left	403	358	270	3.0	108.0	147.0	119.71428571428572	p18
848	left	404	358	269	2.5	116.0	161.0	126.66666666666666	p18
849	left	405	358	269	2.5	116.0	161.0	126.66666666666666	p18
850	left	406	358	269	2.5	116.0	161.0	126.66666666666666	p18
851	left	407	358	269	2.5	116.0	161.0	126.66666666666666	p18
852	left	408	358	269	3.0	109.0	155.0	121.42857142857142	p18
853	left	409	358	269	3.0	109.0	155.0	121.42857142857142	p18
854	left	410	358	269	3.0	109.0	155.0	121.42857142857142	p18
855	left	411	358	269	3.0	109.0	155.0	121.42857142857142	p18
860	left	374	357	326	1.0	112.0	124.0	114.5	p19
861	left	375	357	326	1.0	112.0	124.0	114.5	p19
862	left	376	357	326	1.0	112.0	124.0	114.5	p19
863	left	377	357	326	1.0	112.0	124.0	114.5	p19
864	left	385	357	326	1.0	110.0	127.0	114.5	p19
865	left	386	357	326	1.0	110.0	127.0	114.5	p19
866	left	387	357	326	1.0	110.0	127.0	114.5	p19
867	left	388	357	326	1.0	110.0	127.0	114.5	p19
886	left	453	356	326	0.5	117.0	124.0	117.0	p19
887	left	454	356	326	0.5	117.0	124.0	117.0	p19
888	left	455	356	326	0.5	117.0	124.0	117.0	p19
889	left	456	356	326	0.5	117.0	124.0	117.0	p19
868	left	457	356	325	3.0	110.0	140.0	128.14285714285714	p19
869	left	458	356	325	3.0	110.0	140.0	128.14285714285714	p19
870	left	459	356	325	3.0	110.0	140.0	128.14285714285714	p19
890	left	460	356	326	1.5	117.0	141.0	123.6	p19
891	left	461	356	326	1.5	117.0	141.0	123.6	p19
892	left	462	356	326	1.5	117.0	141.0	123.6	p19
893	left	463	356	326	1.5	117.0	141.0	123.6	p19
894	left	464	356	326	1.5	109.0	142.0	128.0	p19
895	left	465	356	326	1.5	109.0	142.0	128.0	p19
896	left	466	356	326	1.5	109.0	142.0	128.0	p19
897	left	467	356	326	1.5	109.0	142.0	128.0	p19
898	left	468	356	326	3.0	109.0	147.0	126.28571428571428	p19
899	left	469	356	326	3.0	109.0	147.0	126.28571428571428	p19
900	left	470	356	326	3.0	109.0	147.0	126.28571428571428	p19
901	left	471	356	326	3.0	109.0	147.0	126.28571428571428	p19
902	left	472	356	326	1.0	122.0	152.0	135.0	p19
903	left	473	356	326	1.0	122.0	152.0	135.0	p19
904	left	474	356	326	1.0	122.0	152.0	135.0	p19
905	left	475	356	326	3.0	109.0	155.0	131.28571428571428	p19
906	left	476	356	326	3.0	109.0	155.0	131.28571428571428	p19
907	left	477	356	326	3.0	109.0	155.0	131.28571428571428	p19
908	left	478	356	326	3.0	109.0	155.0	131.28571428571428	p19
909	left	479	356	326	2.5	114.0	162.0	131.57142857142856	p19
910	left	480	356	326	2.5	114.0	162.0	131.57142857142856	p19
911	left	481	356	326	2.5	114.0	162.0	131.57142857142856	p19
912	left	482	356	326	2.5	114.0	162.0	131.57142857142856	p19
913	left	483	356	326	3.0	110.0	155.0	128.14285714285714	p19
914	left	484	356	326	3.0	110.0	155.0	128.14285714285714	p19
915	left	485	356	326	3.0	110.0	155.0	128.14285714285714	p19
916	left	486	356	326	3.0	110.0	155.0	128.14285714285714	p19
917	left	487	356	326	1.5	109.0	159.0	142.8	p19
918	left	488	356	326	1.5	109.0	159.0	142.8	p19
919	left	489	356	326	1.5	109.0	159.0	142.8	p19
920	left	490	356	326	1.5	109.0	134.0	119.4	p19
921	left	491	356	326	1.5	109.0	134.0	119.4	p19
922	left	492	356	326	1.5	109.0	134.0	119.4	p19
923	left	493	356	326	1.5	109.0	134.0	119.4	p19
924	left	494	356	326	1.5	110.0	128.0	113.8	p19
925	left	495	356	326	1.5	110.0	128.0	113.8	p19
926	left	496	356	326	1.5	110.0	128.0	113.8	p19
927	left	497	356	326	1.5	110.0	128.0	113.8	p19
928	left	498	356	326	2.0	115.0	141.0	121.33333333333331	p19
929	left	499	356	326	2.0	115.0	141.0	121.33333333333331	p19
930	left	500	356	326	2.0	115.0	141.0	121.33333333333331	p19
931	left	501	356	326	2.0	114.0	140.0	120.16666666666666	p19
932	left	502	356	326	2.5	108.0	165.0	131.5	p19
933	left	503	356	326	2.5	108.0	165.0	131.5	p19
934	left	504	356	326	2.5	108.0	165.0	131.5	p19
935	left	505	356	326	2.0	117.0	138.0	123.83333333333331	p19
936	left	506	356	326	2.0	117.0	138.0	123.83333333333331	p19
937	left	507	356	326	2.0	117.0	138.0	123.83333333333331	p19
938	left	508	356	326	2.0	117.0	138.0	123.83333333333331	p19
939	left	509	356	326	1.0	110.0	145.0	123.25	p19
940	left	510	356	326	1.0	110.0	145.0	123.25	p19
941	left	511	356	326	1.0	110.0	145.0	123.25	p19
942	left	512	356	326	1.0	110.0	145.0	123.25	p19
943	left	513	356	326	0.5	109.0	135.0	120.0	p19
944	left	514	356	326	0.5	109.0	135.0	120.0	p19
945	left	515	356	326	0.5	109.0	135.0	120.0	p19
946	left	516	356	326	0.5	109.0	135.0	120.0	p19
871	left	517	355	326	1.0	129.0	145.0	134.25	p19
872	left	518	355	326	1.0	129.0	145.0	134.25	p19
873	left	519	355	326	1.0	129.0	145.0	134.25	p19
874	left	520	355	326	3.5	110.0	147.0	120.875	p19
875	left	521	355	326	3.5	110.0	147.0	120.875	p19
876	left	522	355	326	3.5	110.0	147.0	120.875	p19
877	left	523	355	326	3.5	110.0	147.0	120.875	p19
878	left	524	355	326	2.0	115.0	145.0	126.83333333333331	p19
879	left	525	355	326	2.0	115.0	145.0	126.83333333333331	p19
880	left	526	355	326	2.0	115.0	145.0	126.83333333333331	p19
881	left	527	355	326	2.0	115.0	145.0	126.83333333333331	p19
947	left	528	356	326	1.0	126.0	144.0	131.75	p19
948	left	529	356	326	1.0	126.0	144.0	131.75	p19
949	left	530	356	326	1.0	126.0	144.0	131.75	p19
950	left	531	356	326	1.0	126.0	144.0	131.75	p19
951	left	532	356	326	1.5	115.0	145.0	125.0	p19
952	left	533	356	326	1.5	115.0	145.0	125.0	p19
953	left	534	356	326	1.5	115.0	145.0	125.0	p19
882	left	535	355	326	4.5	109.0	162.0	125.66666666666666	p19
883	left	536	355	326	4.5	109.0	162.0	125.66666666666666	p19
884	left	537	355	326	4.5	109.0	162.0	125.66666666666666	p19
885	left	538	355	326	4.5	109.0	162.0	125.66666666666666	p19
50	left	693	348	434	1.5	112.0	156.0	125.8	p2
51	left	694	348	434	1.5	112.0	156.0	125.8	p2
52	left	695	348	434	1.5	112.0	156.0	125.8	p2
53	left	696	348	434	1.5	112.0	156.0	125.8	p2
54	left	697	348	434	3.0	114.0	173.0	129.14285714285714	p2
55	left	698	348	434	3.0	114.0	173.0	129.14285714285714	p2
56	left	699	348	434	3.0	114.0	173.0	129.14285714285714	p2
46	left	700	347	434	3.0	109.0	147.0	121.14285714285714	p2
47	left	701	347	434	3.0	109.0	147.0	121.14285714285714	p2
48	left	702	347	434	3.0	109.0	147.0	121.14285714285714	p2
49	left	703	347	434	3.0	109.0	147.0	121.14285714285714	p2
57	left	704	348	435	2.5	115.0	155.0	124.83333333333331	p2
58	left	705	348	435	2.5	115.0	155.0	124.83333333333331	p2
59	left	706	348	435	2.5	115.0	155.0	124.83333333333331	p2
60	left	707	348	435	2.5	115.0	155.0	124.83333333333331	p2
65	left	712	347	435	4.0	110.0	151.0	121.77777777777776	p2
66	left	713	347	435	4.0	110.0	151.0	121.77777777777776	p2
67	left	714	347	435	4.0	110.0	151.0	121.77777777777776	p2
68	left	715	347	435	4.0	110.0	151.0	121.77777777777776	p2
69	left	716	347	435	3.5	108.0	163.0	133.75	p2
