frame	dist	x	y	xmin	xmax	ymin	ymax
578	81.91	412.05	328.27	328.33	493.38	273.74	382.26
583	81.02	411.87	330.68	329.21	494.27	276.29	383.42
584	80.77	411.49	331.08	329.76	493.25	277.91	383.24
585	80.64	411.3	331.57	329.4	493.42	278.43	383.54
586	80.45	411.2	331.85	329.63	492.91	278.82	383.43
587	80.43	411.22	331.91	329.17	492.59	278.87	383.8
588	80.31	411.45	331.99	329.79	492.62	279.12	383.16
590	80.72	412.04	332.16	330.94	495.0	279.31	395.0
594	79.83	411.28	331.5	329.31	492.32	279.23	382.54
595	79.79	410.92	331.31	328.74	491.23	278.94	382.12
596	80.01	410.16	330.98	328.45	491.24	278.48	381.67
598	80.12	408.93	330.12	326.88	489.28	276.72	381.25
599	80.21	408.73	330.08	326.37	489.44	276.61	381.35
600	80.53	408.2	329.97	326.24	489.48	276.01	381.51
601	80.55	407.91	329.84	325.15	488.45	276.2	381.22
602	80.79	407.58	329.72	325.09	488.58	276.29	381.18
603	81.21	407.23	329.71	324.29	488.68	276.11	381.37
604	81.24	407.18	329.8	324.26	488.51	275.85	381.69
605	81.43	407.12	330.06	324.05	488.61	276.03	382.55
606	81.52	407.3	330.41	324.12	489.22	276.07	383.42
607	81.8	407.81	330.79	324.44	488.78	276.51	383.57
608	81.69	408.26	331.15	325.31	489.46	276.42	384.57
609	82.03	410.06	331.82	326.93	491.32	277.68	385.41
610	82.14	410.48	331.86	328.31	491.62	277.67	385.26
611	82.37	411.7	331.94	328.66	492.76	277.67	385.67
612	82.48	412.85	332.0	328.39	493.84	277.23	386.34
613	82.58	414.33	332.03	330.91	496.15	277.59	386.76
614	83.11	416.15	332.51	331.94	498.34	277.57	387.8
615	83.23	416.69	332.93	331.89	498.69	277.53	387.78
616	83.63	417.16	333.8	332.47	499.8	277.94	388.89
617	84.0	417.49	334.72	332.34	500.91	278.76	390.57
618	84.24	417.77	335.51	332.67	501.91	278.75	391.41
619	84.72	418.28	337.64	331.64	502.75	280.21	393.34
620	84.98	418.61	338.37	331.3	502.28	281.81	394.41
621	85.18	418.94	339.36	331.49	502.17	282.0	396.37
622	85.44	419.12	340.36	331.13	502.72	283.47	397.59
623	85.56	419.13	341.25	330.34	503.24	283.61	398.11
624	85.61	418.98	342.08	330.29	503.26	285.14	398.93
625	86.22	418.02	343.15	328.96	502.94	285.41	399.7
626	86.61	417.01	343.31	326.63	502.39	285.28	399.74
627	86.99	415.44	343.66	325.12	501.45	285.24	399.97
628	87.14	413.64	343.83	323.96	499.35	285.28	400.32
629	87.51	411.72	344.01	321.96	497.9	284.68	400.32
630	87.67	406.69	345.34	316.53	493.49	286.22	401.5
