	camera	frame	cX	cY	pulse
880	left	1409	283	274	p17
881	left	1410	283	274	p17
882	left	1411	283	274	p17
891	left	1339	396	268	p18
892	left	1340	396	268	p18
893	left	1341	396	268	p18
894	left	1342	396	268	p18
899	left	1350	420	265	p19
900	left	1351	420	265	p19
901	left	1352	420	265	p19
902	left	1353	420	265	p19
895	left	1354	419	264	p19
896	left	1355	419	264	p19
897	left	1356	419	264	p19
898	left	1357	419	264	p19
87	left	250	314	327	p2
88	left	251	314	327	p2
89	left	252	314	327	p2
90	left	253	314	327	p2
903	right	237	536	414	p20
904	right	238	536	414	p20
905	right	239	536	414	p20
906	right	240	38	251	p21
907	right	241	38	251	p21
908	right	242	38	251	p21
909	right	243	38	251	p21
910	right	244	39	252	p21
911	right	245	39	252	p21
912	right	246	39	252	p21
913	right	247	39	252	p21
914	right	240	536	414	p22
915	right	241	536	414	p22
916	right	242	536	414	p22
917	right	243	536	414	p22
918	right	244	536	415	p22
919	right	245	536	415	p22
920	right	246	536	415	p22
921	right	247	536	415	p22
922	right	248	536	417	p22
923	right	249	536	417	p22
924	right	250	536	417	p22
925	right	251	536	417	p22
926	right	255	537	417	p22
927	right	256	537	417	p22
928	right	257	537	417	p22
929	right	258	537	417	p22
930	right	379	49	254	p23
931	right	380	49	254	p23
932	right	381	49	254	p23
933	right	382	49	254	p23
945	right	379	67	272	p24
946	right	380	67	272	p24
947	right	381	67	272	p24
948	right	382	67	272	p24
934	right	383	66	272	p24
935	right	384	66	272	p24
936	right	385	66	272	p24
937	right	386	66	272	p24
941	right	387	66	273	p24
942	right	388	66	273	p24
943	right	389	66	273	p24
944	right	390	66	273	p24
938	right	391	66	272	p24
939	right	392	66	272	p24
940	right	393	66	272	p24
949	right	526	56	253	p25
950	right	527	56	253	p25
951	right	528	56	253	p25
952	right	529	56	253	p25
953	right	530	82	286	p26
954	right	531	82	286	p26
955	right	532	82	286	p26
956	right	533	83	285	p26
957	right	534	83	286	p26
958	right	535	83	286	p26
959	right	536	83	286	p26
960	right	526	147	224	p27
961	right	527	147	224	p27
962	right	528	147	224	p27
963	right	529	147	224	p27
964	right	530	147	224	p27
965	right	531	147	224	p27
966	right	532	147	224	p27
967	right	533	148	224	p27
968	right	534	148	224	p27
969	right	535	148	224	p27
970	right	536	148	224	p27
978	right	680	154	225	p27
979	right	681	154	225	p27
980	right	682	154	225	p27
981	right	683	154	225	p27
971	right	684	154	224	p27
972	right	685	154	224	p27
973	right	686	154	224	p27
974	right	687	154	224	p27
975	right	688	154	224	p27
976	right	689	154	224	p27
977	right	690	154	224	p27
982	right	834	71	257	p28
983	right	835	71	257	p28
984	right	836	71	257	p28
985	right	837	71	257	p28
986	right	834	152	226	p29
987	right	835	152	226	p29
988	right	836	152	226	p29
989	right	837	152	226	p29
990	right	838	153	226	p29
991	right	839	153	226	p29
992	right	840	153	226	p29
993	right	841	153	226	p29
994	right	842	153	227	p29
995	right	843	153	227	p29
996	right	844	153	227	p29
91	left	205	315	301	p3
92	left	206	315	301	p3
93	left	207	315	301	p3
997	left	483	574	360	p30
998	left	484	574	360	p30
999	left	485	574	360	p30
1000	left	486	574	360	p30
1001	right	962	256	338	p31
1002	right	963	256	338	p31
1003	right	964	256	338	p31
1004	right	999	290	341	p32
1005	right	1000	290	341	p32
1006	right	1001	290	341	p32
1007	right	1002	290	341	p32
1008	right	1003	290	342	p32
1009	right	1004	290	342	p32
1010	right	1005	290	342	p32
1011	right	1006	290	342	p32
1012	right	1011	290	342	p32
1013	right	1012	290	342	p32
1014	right	1013	290	342	p32
1015	right	1202	431	363	p33
1016	right	1203	431	363	p33
1017	right	1204	431	363	p33
1018	right	1205	431	363	p33
1019	right	1206	432	363	p33
1020	right	1207	432	363	p33
1021	right	1208	432	363	p33
1022	right	1209	433	364	p33
1023	right	1210	433	364	p33
1024	right	1211	433	364	p33
1025	right	1212	433	364	p33
1026	right	1213	433	364	p33
1027	right	1214	433	364	p33
1028	right	1215	433	364	p33
1029	right	1216	433	364	p33
1030	right	1217	433	365	p33
1031	right	1218	433	365	p33
1032	right	1219	433	365	p33
1033	right	1220	433	365	p33
1034	right	1221	434	366	p33
1035	right	1222	434	366	p33
1036	right	1223	434	366	p33
1037	right	1224	434	366	p33
1038	right	1225	434	366	p33
1039	right	1226	434	366	p33
1040	right	1227	434	366	p33
1041	right	1232	434	367	p33
