	camera	frame	cX	cY	pulse
5611	right	840	290	139	p100
5612	right	841	290	139	p100
5613	right	842	290	139	p100
5614	right	843	290	139	p100
5615	right	844	290	139	p100
5616	right	845	290	139	p100
5617	right	846	290	139	p100
5618	right	847	290	139	p100
5619	right	848	290	139	p100
5620	right	849	290	139	p100
5621	right	850	290	139	p100
5622	right	851	290	139	p100
5623	right	852	290	139	p100
5624	right	853	290	139	p100
5625	right	854	290	139	p100
5626	right	855	290	139	p100
5627	right	856	290	139	p100
5628	right	857	290	139	p100
5629	right	858	290	139	p100
5240	right	859	290	138	p100
5241	right	860	290	138	p100
5242	right	861	290	138	p100
5243	right	862	290	138	p100
5244	right	863	290	138	p100
5245	right	864	290	138	p100
5246	right	865	290	138	p100
5630	right	866	290	139	p100
5631	right	867	290	139	p100
5632	right	868	290	139	p100
5633	right	869	290	139	p100
5634	right	870	290	139	p100
5635	right	871	290	139	p100
5636	right	872	290	139	p100
5637	right	873	290	139	p100
5638	right	874	290	139	p100
5639	right	875	290	139	p100
5640	right	876	290	139	p100
5641	right	877	290	139	p100
5642	right	878	290	139	p100
5643	right	879	290	139	p100
5644	right	880	290	139	p100
5645	right	881	290	139	p100
5646	right	882	290	139	p100
5647	right	883	290	139	p100
5648	right	884	290	139	p100
5061	right	885	289	138	p100
5062	right	886	289	138	p100
5063	right	887	289	138	p100
5064	right	888	289	138	p100
5649	right	889	290	139	p100
5650	right	890	290	139	p100
5651	right	891	290	139	p100
5652	right	892	290	139	p100
5653	right	893	290	139	p100
5654	right	894	290	139	p100
5655	right	895	290	139	p100
5656	right	896	290	139	p100
5657	right	897	290	139	p100
5658	right	898	290	139	p100
5659	right	899	290	139	p100
5660	right	900	290	139	p100
5661	right	901	290	139	p100
5662	right	902	290	139	p100
5663	right	903	290	139	p100
5664	right	904	290	139	p100
5665	right	905	290	139	p100
5666	right	906	290	139	p100
5667	right	907	290	139	p100
5668	right	908	290	139	p100
5669	right	909	290	139	p100
5670	right	910	290	139	p100
5247	right	911	290	138	p100
5248	right	912	290	138	p100
5249	right	913	290	138	p100
5250	right	914	290	138	p100
5671	right	915	290	139	p100
5672	right	916	290	139	p100
5673	right	917	290	139	p100
5674	right	918	290	139	p100
5988	right	919	291	138	p100
5989	right	920	291	138	p100
5990	right	921	291	138	p100
5675	right	922	290	139	p100
5676	right	923	290	139	p100
5677	right	924	290	139	p100
5678	right	925	290	139	p100
5679	right	926	290	139	p100
5680	right	927	290	139	p100
5681	right	928	290	139	p100
5682	right	929	290	139	p100
5683	right	930	290	139	p100
5684	right	931	290	139	p100
5685	right	932	290	139	p100
5686	right	933	290	139	p100
5687	right	934	290	139	p100
5688	right	935	290	139	p100
5689	right	936	290	139	p100
5690	right	937	290	139	p100
5691	right	938	290	139	p100
5692	right	939	290	139	p100
5693	right	940	290	139	p100
5694	right	941	290	139	p100
5695	right	942	290	139	p100
5696	right	943	290	139	p100
5697	right	944	290	139	p100
5251	right	945	290	138	p100
5252	right	946	290	138	p100
5253	right	947	290	138	p100
5254	right	948	290	138	p100
5255	right	949	290	138	p100
5256	right	950	290	138	p100
5257	right	951	290	138	p100
5698	right	952	290	139	p100
5699	right	953	290	139	p100
5700	right	954	290	139	p100
5701	right	955	290	139	p100
5702	right	956	290	139	p100
5703	right	957	290	139	p100
5704	right	958	290	139	p100
5705	right	959	290	139	p100
5706	right	960	290	139	p100
5707	right	961	290	139	p100
5708	right	962	290	139	p100
5709	right	963	290	139	p100
5710	right	964	290	139	p100
5711	right	965	290	139	p100
5712	right	966	290	139	p100
5713	right	967	290	139	p100
5714	right	968	290	139	p100
5715	right	969	290	139	p100
5716	right	970	290	139	p100
5258	right	971	290	138	p100
5259	right	972	290	138	p100
5260	right	973	290	138	p100
5261	right	974	290	138	p100
5717	right	975	290	139	p100
5718	right	976	290	139	p100
5719	right	977	290	139	p100
5720	right	978	290	139	p100
5721	right	979	290	139	p100
5722	right	980	290	139	p100
5723	right	981	290	139	p100
5262	right	982	290	138	p100
5263	right	983	290	138	p100
5264	right	984	290	138	p100
5265	right	985	290	138	p100
5266	right	986	290	138	p100
5267	right	987	290	138	p100
5268	right	988	290	138	p100
5269	right	989	290	138	p100
5270	right	990	290	138	p100
5724	right	991	290	139	p100
5725	right	992	290	139	p100
5726	right	993	290	139	p100
5727	right	994	290	139	p100
5728	right	995	290	139	p100
5729	right	996	290	139	p100
5271	right	997	290	138	p100
5272	right	998	290	138	p100
5273	right	999	290	138	p100
5274	right	1000	290	138	p100
5730	right	1001	290	139	p100
5731	right	1002	290	139	p100
5732	right	1003	290	139	p100
5733	right	1004	290	139	p100
5734	right	1005	290	139	p100
5735	right	1006	290	139	p100
5736	right	1007	290	139	p100
5737	right	1008	290	139	p100
5275	right	1009	290	138	p100
5276	right	1010	290	138	p100
5277	right	1011	290	138	p100
5278	right	1012	290	138	p100
5279	right	1013	290	138	p100
5280	right	1014	290	138	p100
5281	right	1015	290	138	p100
5738	right	1016	290	139	p100
5739	right	1017	290	139	p100
5740	right	1018	290	139	p100
5741	right	1019	290	139	p100
5742	right	1020	290	139	p100
5743	right	1021	290	139	p100
5744	right	1022	290	139	p100
5745	right	1023	290	139	p100
5746	right	1024	290	139	p100
5747	right	1025	290	139	p100
5748	right	1026	290	139	p100
5749	right	1027	290	139	p100
5750	right	1028	290	139	p100
5751	right	1029	290	139	p100
5752	right	1030	290	139	p100
5753	right	1031	290	139	p100
5754	right	1032	290	139	p100
5755	right	1033	290	139	p100
5756	right	1034	290	139	p100
5282	right	1035	290	138	p100
5283	right	1036	290	138	p100
5284	right	1037	290	138	p100
5285	right	1038	290	138	p100
5286	right	1039	290	138	p100
5287	right	1040	290	138	p100
5288	right	1041	290	138	p100
5757	right	1042	290	139	p100
5758	right	1043	290	139	p100
5759	right	1044	290	139	p100
5760	right	1045	290	139	p100
5761	right	1046	290	139	p100
5762	right	1047	290	139	p100
5763	right	1048	290	139	p100
5764	right	1049	290	139	p100
5765	right	1050	290	139	p100
5766	right	1051	290	139	p100
5767	right	1052	290	139	p100
5768	right	1053	290	139	p100
5769	right	1054	290	139	p100
5770	right	1055	290	139	p100
5771	right	1056	290	139	p100
5772	right	1057	290	139	p100
5773	right	1058	290	139	p100
5774	right	1059	290	139	p100
5775	right	1060	290	139	p100
5289	right	1061	290	138	p100
5290	right	1062	290	138	p100
5291	right	1063	290	138	p100
5292	right	1064	290	138	p100
5776	right	1065	290	139	p100
5777	right	1066	290	139	p100
5778	right	1067	290	139	p100
5779	right	1068	290	139	p100
5780	right	1069	290	139	p100
5781	right	1070	290	139	p100
5782	right	1071	290	139	p100
5783	right	1072	290	139	p100
5784	right	1073	290	139	p100
5785	right	1074	290	139	p100
5786	right	1075	290	139	p100
5991	right	1076	291	138	p100
5992	right	1077	291	138	p100
5993	right	1078	291	138	p100
5994	right	1079	291	138	p100
5787	right	1080	290	139	p100
5788	right	1081	290	139	p100
5789	right	1082	290	139	p100
5790	right	1083	290	139	p100
5293	right	1084	290	138	p100
5294	right	1085	290	138	p100
5295	right	1086	290	138	p100
