	camera	pulse	start	finish	minx	maxx	modex	miny	maxy	modey	spulse
192	right	p87	390	397	81	81	81	152	152	152	sp64
64	left	p76	47	50	193	193	193	156	156	156	sp64
191	right	p86	225	389	222	223	222	143	144	143	sp65
65	left	p77	47	237	396	397	397	140	140	140	sp65
71	right	p17	3124	3142	81	82	81	152	153	153	sp66
66	left	p78	3040	3201	194	194	194	155	156	156	sp66
67	left	p79	3040	3210	262	263	262	150	150	150	sp67
179	right	p31	3188	3210	81	82	81	152	153	153	sp67
68	left	p80	3055	3210	330	331	330	145	146	145	sp68
181	right	p33	3188	3210	222	223	222	142	143	142	sp68
69	left	p81	3059	3210	397	398	398	138	140	139	sp69
177	right	p28	3162	3183	290	290	290	137	138	138	sp69
201	right	p95	480	1420	81	82	81	151	153	152	sp7
7	left	p198	475	2353	193	194	194	155	156	156	sp7
8	left	p199	475	2368	261	263	262	150	151	150	sp8
205	right	p99	855	1420	222	223	222	143	144	143	sp8
108	right	p211	2378	2418	81	82	81	152	153	153	sp9
9	left	p2	2395	2405	193	194	193	155	156	156	sp9
