camera	frame	cX	cY	area	minI	maxI	meanI
left	89	360	153	4.5	108.0	175.0	139.22222222222223
right	89	295	155	1.5	108.0	135.0	122.2
left	90	360	153	4.5	108.0	175.0	139.22222222222223
right	90	295	155	1.5	108.0	135.0	122.2
left	91	360	153	4.5	108.0	175.0	139.22222222222223
right	91	295	155	1.5	108.0	135.0	122.2
left	92	360	153	3.5	115.0	152.0	130.75
right	92	295	155	1.5	108.0	135.0	122.2
left	93	360	153	3.5	115.0	152.0	130.75
right	93	295	155	2.0	114.0	149.0	124.66666666666666
left	94	360	153	3.5	115.0	152.0	130.75
right	94	295	155	2.0	114.0	149.0	124.66666666666666
left	95	360	153	3.5	115.0	152.0	130.75
right	95	295	155	2.0	114.0	149.0	124.66666666666666
left	96	360	153	3.0	113.0	172.0	135.85714285714286
right	96	295	155	2.0	114.0	149.0	124.66666666666666
left	97	360	153	3.0	113.0	172.0	135.85714285714286
right	97	295	155	0.5	117.0	128.0	122.0
left	98	360	153	3.0	113.0	172.0	135.85714285714286
right	98	295	155	0.5	117.0	128.0	122.0
left	99	360	153	3.0	113.0	172.0	135.85714285714286
right	99	295	155	0.5	117.0	128.0	122.0
left	100	360	153	5.0	112.0	157.0	126.4
right	100	295	155	0.5	117.0	128.0	122.0
left	101	360	153	5.0	112.0	157.0	126.4
right	101	295	154	2.0	109.0	147.0	119.33333333333333
right	101	301	329	0.5	113.0	114.0	109.66666666666666
left	102	360	153	5.0	112.0	157.0	126.4
right	102	295	155	2.5	108.0	147.0	122.14285714285714
right	102	301	329	0.5	113.0	114.0	109.66666666666666
left	103	360	153	5.0	112.0	157.0	126.4
right	103	295	155	2.5	108.0	147.0	122.14285714285714
right	103	301	329	0.5	113.0	114.0	109.66666666666666
left	104	360	153	5.0	108.0	159.0	129.8
right	104	294	155	3.5	112.0	147.0	124.875
left	105	360	153	5.0	108.0	159.0	129.8
right	105	294	155	3.5	112.0	147.0	124.875
left	106	360	153	5.0	108.0	159.0	129.8
right	106	294	155	3.5	112.0	147.0	124.875
left	107	360	153	5.0	108.0	159.0	129.8
right	107	294	155	3.5	112.0	147.0	124.875
left	108	360	153	2.5	112.0	159.0	133.85714285714286
right	108	295	155	2.0	118.0	143.0	122.0
left	109	360	153	2.5	112.0	159.0	133.85714285714286
right	109	295	155	2.0	118.0	143.0	122.0
left	110	360	153	2.5	112.0	159.0	133.85714285714286
right	110	295	155	2.0	118.0	143.0	122.0
left	111	360	153	3.5	117.0	164.0	135.75
right	111	295	155	2.0	118.0	143.0	122.0
left	112	360	153	3.5	117.0	164.0	135.75
right	112	295	155	3.5	108.0	162.0	123.75
left	113	360	153	3.5	117.0	164.0	135.75
right	113	295	155	3.5	108.0	162.0	123.75
left	114	360	153	3.5	117.0	164.0	135.75
right	114	295	155	3.5	108.0	162.0	123.75
left	115	360	153	3.5	109.0	158.0	136.5
right	115	295	155	3.5	108.0	162.0	123.75
left	116	360	153	3.5	109.0	158.0	136.5
right	116	295	155	1.0	116.0	144.0	124.25
left	117	360	153	3.5	109.0	158.0	136.5
right	117	295	155	1.0	116.0	144.0	124.25
left	118	360	153	3.5	109.0	158.0	136.5
right	118	295	155	1.0	116.0	144.0	124.25
left	119	360	154	4.5	110.0	149.0	124.88888888888889
right	119	295	155	1.0	115.0	143.0	121.75
left	120	360	154	4.5	110.0	149.0	124.88888888888889
right	120	295	155	1.0	115.0	143.0	121.75
left	121	360	154	4.5	110.0	149.0	124.88888888888889
right	121	295	155	1.0	115.0	143.0	121.75
left	122	360	154	4.5	110.0	149.0	124.88888888888889
right	122	295	155	1.0	115.0	143.0	121.75
left	123	360	153	3.5	113.0	168.0	137.25
right	123	295	154	2.0	114.0	143.0	124.5
left	124	360	153	3.5	113.0	168.0	137.25
right	124	295	154	2.0	114.0	143.0	124.5
left	125	360	153	3.5	113.0	168.0	137.25
right	125	295	154	2.0	114.0	143.0	124.5
left	126	360	153	4.0	116.0	166.0	135.44444444444443
right	126	295	154	2.0	114.0	143.0	124.5
left	127	360	153	4.0	116.0	166.0	135.44444444444443
right	127	295	155	3.0	114.0	147.0	127.57142857142857
left	128	360	153	4.0	116.0	166.0	135.44444444444443
right	128	295	155	3.0	114.0	147.0	127.57142857142857
left	129	360	153	4.0	116.0	166.0	135.44444444444443
right	129	295	155	3.0	114.0	147.0	127.57142857142857
left	130	360	153	3.5	129.0	159.0	140.625
right	130	295	155	3.0	114.0	147.0	127.57142857142857
left	131	360	153	3.5	129.0	159.0	140.625
right	131	295	155	4.0	109.0	166.0	124.125
left	132	360	153	3.5	129.0	159.0	140.625
right	132	295	155	4.0	109.0	166.0	124.125
left	133	360	153	3.5	129.0	159.0	140.625
right	133	295	155	4.0	109.0	166.0	124.125
left	134	360	153	4.0	109.0	159.0	132.55555555555554
right	134	295	155	4.0	108.0	147.0	119.5
left	135	360	153	4.0	109.0	159.0	132.55555555555554
right	135	295	155	4.0	108.0	147.0	119.5
left	136	360	153	4.0	109.0	159.0	132.55555555555554
right	136	295	155	4.0	108.0	147.0	119.5
left	137	360	153	4.0	109.0	159.0	132.55555555555554
right	137	295	155	4.0	108.0	147.0	119.5
left	138	360	153	4.0	114.0	164.0	136.22222222222223
right	138	294	154	3.0	108.0	157.0	120.57142857142857
left	139	360	153	4.0	114.0	164.0	136.22222222222223
right	139	294	154	3.0	108.0	157.0	120.57142857142857
left	140	360	153	4.0	114.0	164.0	136.22222222222223
right	140	294	154	3.0	108.0	157.0	120.57142857142857
left	141	359	153	3.5	108.0	158.0	129.625
right	141	294	154	3.0	108.0	157.0	120.57142857142857
left	142	359	153	3.5	108.0	158.0	129.625
right	142	294	155	4.5	111.0	153.0	125.33333333333333
left	143	359	153	3.5	108.0	158.0	129.625
right	143	294	155	4.5	111.0	153.0	125.33333333333333
left	144	359	153	3.5	108.0	158.0	129.625
right	144	294	155	4.5	111.0	153.0	125.33333333333333
left	145	360	153	3.0	113.0	159.0	131.7142857142857
right	145	294	155	4.5	111.0	153.0	125.33333333333333
left	146	360	153	3.0	113.0	159.0	131.7142857142857
right	146	295	155	4.0	110.0	164.0	131.125
left	147	360	153	3.0	113.0	159.0	131.7142857142857
right	147	295	155	4.0	110.0	164.0	131.125
left	148	360	153	3.0	113.0	159.0	131.7142857142857
right	148	295	155	4.0	110.0	164.0	131.125
left	149	360	153	4.5	109.0	166.0	130.11111111111111
right	149	295	155	4.0	110.0	164.0	131.125
left	150	360	153	4.5	109.0	166.0	130.11111111111111
right	150	295	155	5.0	109.0	159.0	126.80000000000001
left	151	360	153	4.5	109.0	166.0	130.11111111111111
right	151	295	155	5.0	109.0	159.0	126.80000000000001
left	152	360	153	4.5	109.0	166.0	130.11111111111111
right	152	295	155	5.0	109.0	159.0	126.80000000000001
left	153	359	153	3.5	109.0	157.0	129.625
right	153	294	155	3.5	114.0	158.0	127.625
left	154	359	153	3.5	109.0	157.0	129.625
right	154	294	155	3.5	114.0	158.0	127.625
left	155	359	153	3.5	109.0	157.0	129.625
right	155	294	155	3.5	114.0	158.0	127.625
left	156	360	153	3.0	119.0	157.0	128.42857142857142
right	156	294	155	3.5	114.0	158.0	127.625
left	157	360	153	3.0	119.0	157.0	128.42857142857142
right	157	294	155	4.5	113.0	161.0	132.11111111111111
left	158	360	153	3.0	119.0	157.0	128.42857142857142
right	158	294	155	4.5	113.0	161.0	132.11111111111111
left	159	360	153	3.0	119.0	157.0	128.42857142857142
right	159	294	155	4.5	113.0	161.0	132.11111111111111
left	160	359	153	3.5	110.0	155.0	130.375
right	160	294	155	4.5	113.0	161.0	132.11111111111111
left	161	359	153	3.5	110.0	155.0	130.375
right	161	295	155	4.0	109.0	157.0	128.125
left	162	359	153	3.5	110.0	155.0	130.375
right	162	295	155	4.0	109.0	157.0	128.125
left	163	359	153	3.5	110.0	155.0	130.375
right	163	295	155	4.0	109.0	157.0	128.125
left	164	360	153	4.0	109.0	158.0	127.88888888888889
right	164	295	155	4.0	109.0	157.0	128.125
left	165	360	153	4.0	109.0	158.0	127.88888888888889
right	165	294	155	2.0	109.0	164.0	130.0
left	166	360	153	4.0	109.0	158.0	127.88888888888889
right	166	294	155	2.0	109.0	164.0	130.0
left	167	360	153	4.0	109.0	158.0	127.88888888888889
right	167	294	155	2.0	109.0	164.0	130.0
left	209	360	212	2.0	133.0	163.0	141.83333333333331
left	210	360	212	2.0	133.0	163.0	141.83333333333331
right	210	295	213	1.5	113.0	156.0	128.4
left	211	360	212	2.0	133.0	163.0	141.83333333333331
right	211	295	213	1.5	113.0	156.0	128.4
left	212	360	212	2.0	133.0	163.0	141.83333333333331
right	212	295	213	1.5	113.0	156.0	128.4
left	213	359	211	3.0	110.0	154.0	126.85714285714285
right	213	295	212	2.0	120.0	155.0	128.0
left	214	359	211	3.0	110.0	154.0	126.85714285714285
right	214	295	212	2.0	120.0	155.0	128.0
left	215	359	211	3.0	110.0	154.0	126.85714285714285
right	215	295	212	2.0	120.0	155.0	128.0
left	216	359	212	3.5	114.0	173.0	131.125
right	216	295	212	2.0	120.0	155.0	128.0
left	217	359	212	3.5	114.0	173.0	131.125
right	217	295	213	2.5	109.0	165.0	129.42857142857142
left	218	359	212	3.5	114.0	173.0	131.125
right	218	295	213	2.5	109.0	165.0	129.42857142857142
left	219	359	212	3.5	114.0	173.0	131.125
right	219	295	213	2.5	109.0	165.0	129.42857142857142
left	220	359	212	3.5	109.0	164.0	132.875
right	220	295	213	2.5	109.0	165.0	129.42857142857142
left	221	359	212	3.5	109.0	164.0	132.875
right	221	295	213	2.0	108.0	155.0	133.83333333333331
left	222	359	212	3.5	109.0	164.0	132.875
right	222	295	213	2.0	108.0	155.0	133.83333333333331
left	223	359	212	3.5	109.0	164.0	132.875
right	223	295	213	2.0	108.0	155.0	133.83333333333331
left	224	360	212	3.0	115.0	173.0	134.14285714285714
right	224	295	213	2.0	108.0	155.0	133.83333333333331
left	225	360	212	3.0	115.0	173.0	134.14285714285714
right	225	295	212	3.0	109.0	152.0	131.14285714285714
left	226	360	212	3.0	115.0	173.0	134.14285714285714
right	226	295	212	3.0	109.0	152.0	131.14285714285714
left	227	360	212	3.0	115.0	173.0	134.14285714285714
right	227	295	212	3.0	109.0	152.0	131.14285714285714
left	228	359	212	3.5	108.0	173.0	135.0
right	228	295	212	3.0	114.0	175.0	137.57142857142856
left	229	359	212	3.5	108.0	173.0	135.0
right	229	295	212	3.0	114.0	175.0	137.57142857142856
left	230	359	212	3.5	108.0	173.0	135.0
right	230	295	212	3.0	114.0	175.0	137.57142857142856
left	231	360	212	3.0	117.0	164.0	134.0
right	231	295	212	3.0	114.0	175.0	137.57142857142856
left	232	360	212	3.0	117.0	164.0	134.0
right	232	295	213	3.0	108.0	157.0	132.0
left	233	360	212	3.0	117.0	164.0	134.0
right	233	295	213	3.0	108.0	157.0	132.0
left	234	360	212	3.0	117.0	164.0	134.0
right	234	295	213	3.0	108.0	157.0	132.0
left	235	359	212	5.0	108.0	182.0	130.9
right	235	295	213	3.0	108.0	157.0	132.0
left	236	359	212	5.0	108.0	182.0	130.9
right	236	295	213	5.0	109.0	173.0	129.5
left	237	359	212	5.0	108.0	182.0	130.9
right	237	295	213	5.0	109.0	173.0	129.5
left	238	359	212	5.0	108.0	182.0	130.9
right	238	295	213	5.0	109.0	173.0	129.5
left	239	359	212	2.5	116.0	154.0	132.5
right	239	295	213	5.0	109.0	173.0	129.5
left	240	359	212	2.5	116.0	154.0	132.5
right	240	295	212	4.0	112.0	169.0	130.375
left	241	359	212	2.5	116.0	154.0	132.5
right	241	295	212	4.0	112.0	169.0	130.375
left	242	359	212	2.5	116.0	154.0	132.5
right	242	295	212	4.0	112.0	169.0	130.375
left	243	359	212	4.5	110.0	154.0	125.33333333333333
right	243	295	213	1.5	123.0	152.0	132.8
left	244	359	212	4.5	110.0	154.0	125.33333333333333
right	244	295	213	1.5	123.0	152.0	132.8
left	245	359	212	4.5	110.0	154.0	125.33333333333333
right	245	295	213	1.5	123.0	152.0	132.8
left	246	359	211	4.0	109.0	164.0	129.0
right	246	295	213	1.5	123.0	152.0	132.8
left	247	359	211	4.0	109.0	164.0	129.0
right	247	295	212	4.0	120.0	178.0	136.0
left	248	359	211	4.0	109.0	164.0	129.0
right	248	295	212	4.0	120.0	178.0	136.0
left	249	359	211	4.0	109.0	164.0	129.0
right	249	295	212	4.0	120.0	178.0	136.0
left	250	359	212	3.5	114.0	171.0	140.125
right	250	295	212	4.0	120.0	178.0	136.0
left	251	359	212	3.5	114.0	171.0	140.125
right	251	295	213	4.5	108.0	173.0	132.55555555555554
left	252	359	212	3.5	114.0	171.0	140.125
right	252	295	213	4.5	108.0	173.0	132.55555555555554
left	253	359	212	3.5	114.0	171.0	140.125
right	253	295	213	4.5	108.0	173.0	132.55555555555554
left	254	359	211	2.0	108.0	165.0	134.5
right	254	295	213	4.5	108.0	173.0	132.55555555555554
left	255	359	211	2.0	108.0	165.0	134.5
right	255	295	213	2.0	121.0	165.0	135.66666666666666
left	256	359	211	2.0	108.0	165.0	134.5
right	256	295	213	2.0	121.0	165.0	135.66666666666666
left	257	359	211	2.0	108.0	165.0	134.5
right	257	295	213	2.0	121.0	165.0	135.66666666666666
left	258	359	211	3.0	113.0	166.0	131.7142857142857
right	258	294	213	3.5	110.0	169.0	131.625
left	259	359	211	3.0	113.0	166.0	131.7142857142857
right	259	294	213	3.5	110.0	169.0	131.625
left	260	359	211	3.0	113.0	166.0	131.7142857142857
right	260	294	213	3.5	110.0	169.0	131.625
left	261	359	212	4.0	112.0	157.0	128.5
right	261	294	213	3.5	110.0	169.0	131.625
left	262	359	212	4.0	112.0	157.0	128.5
right	262	295	213	3.5	108.0	176.0	134.25
left	263	359	212	4.0	112.0	157.0	128.5
right	263	295	213	3.5	108.0	176.0	134.25
left	264	359	212	4.0	112.0	157.0	128.5
right	264	295	213	3.5	108.0	176.0	134.25
left	265	359	212	4.0	110.0	161.0	127.55555555555554
right	265	295	213	3.5	108.0	176.0	134.25
left	266	359	212	4.0	110.0	161.0	127.55555555555554
right	266	295	213	3.5	114.0	168.0	131.375
left	267	359	212	4.0	110.0	161.0	127.55555555555554
right	267	295	213	3.5	114.0	168.0	131.375
left	268	359	212	4.0	110.0	161.0	127.55555555555554
right	268	295	213	3.5	114.0	168.0	131.375
left	269	359	212	3.5	109.0	168.0	130.125
right	269	295	213	3.5	114.0	168.0	131.375
left	270	359	212	3.5	109.0	168.0	130.125
right	270	295	213	2.5	108.0	161.0	129.0
left	271	359	212	3.5	109.0	168.0	130.125
right	271	295	213	2.5	108.0	161.0	129.0
left	272	359	212	3.5	109.0	168.0	130.125
right	272	295	213	2.5	108.0	161.0	129.0
left	273	359	212	1.0	136.0	152.0	142.5
right	273	295	213	2.0	110.0	159.0	133.16666666666666
left	274	359	212	1.0	136.0	152.0	142.5
right	274	295	213	2.0	110.0	159.0	133.16666666666666
left	275	359	212	1.0	136.0	152.0	142.5
right	275	295	213	2.0	110.0	159.0	133.16666666666666
left	276	359	212	1.5	109.0	162.0	140.0
right	276	295	213	2.0	110.0	159.0	133.16666666666666
left	277	359	212	1.5	109.0	162.0	140.0
right	277	295	213	3.0	108.0	159.0	128.57142857142856
left	278	359	212	1.5	109.0	162.0	140.0
right	278	295	213	3.0	108.0	159.0	128.57142857142856
left	279	359	212	1.5	109.0	162.0	140.0
right	279	295	213	3.0	108.0	159.0	128.57142857142856
left	280	359	212	3.5	114.0	156.0	130.125
right	280	295	213	3.0	108.0	159.0	128.57142857142856
left	281	359	212	3.5	114.0	156.0	130.125
right	281	295	213	3.0	108.0	161.0	128.57142857142856
left	282	359	212	3.5	114.0	156.0	130.125
right	282	295	213	3.0	108.0	161.0	128.57142857142856
left	283	359	212	3.5	114.0	156.0	130.125
right	283	295	213	3.0	108.0	161.0	128.57142857142856
left	284	359	212	5.0	114.0	158.0	127.9
right	284	295	213	3.0	108.0	161.0	128.57142857142856
left	285	359	212	5.0	114.0	158.0	127.9
right	285	295	213	3.0	108.0	159.0	134.7142857142857
left	286	359	212	5.0	114.0	158.0	127.9
right	286	295	213	3.0	108.0	159.0	134.7142857142857
left	287	359	212	5.0	114.0	158.0	127.9
right	287	295	213	3.0	108.0	159.0	134.7142857142857
left	288	359	212	3.5	109.0	159.0	129.625
right	288	295	213	3.0	114.0	150.0	126.0
left	289	359	212	3.5	109.0	159.0	129.625
right	289	295	213	3.0	114.0	150.0	126.0
left	290	359	212	3.5	109.0	159.0	129.625
right	290	295	213	3.0	114.0	150.0	126.0
right	291	295	213	3.0	114.0	150.0	126.0
left	329	358	269	1.0	108.0	128.0	116.5
left	330	358	269	1.0	108.0	128.0	116.5
right	330	294	269	2.0	116.0	144.0	131.83333333333331
left	331	358	269	1.0	108.0	128.0	116.5
right	331	294	269	2.0	116.0	144.0	131.83333333333331
left	332	358	269	1.0	108.0	128.0	116.5
right	332	294	269	2.0	116.0	144.0	131.83333333333331
left	333	358	269	2.5	114.0	162.0	126.5
right	333	294	269	2.0	109.0	151.0	130.83333333333331
left	334	358	269	2.5	114.0	162.0	126.5
right	334	294	269	2.0	109.0	151.0	130.83333333333331
left	335	358	269	2.5	114.0	162.0	126.5
right	335	294	269	2.0	109.0	151.0	130.83333333333331
left	336	358	269	2.5	114.0	162.0	126.5
right	336	294	269	2.0	109.0	151.0	130.83333333333331
left	337	358	269	2.0	112.0	136.0	117.33333333333333
right	337	294	269	3.5	110.0	155.0	132.625
left	338	358	269	2.0	112.0	136.0	117.33333333333333
right	338	294	269	3.5	109.0	152.0	130.75
left	339	358	269	2.0	112.0	136.0	117.33333333333333
right	339	294	269	3.5	108.0	151.0	129.625
left	340	358	269	2.0	108.0	154.0	129.0
right	340	294	269	2.5	112.0	149.0	131.14285714285714
left	341	358	269	2.0	108.0	154.0	129.0
right	341	295	269	4.0	108.0	166.0	127.33333333333333
left	342	358	269	2.0	108.0	154.0	129.0
right	342	295	269	4.0	108.0	166.0	127.33333333333333
left	343	358	269	2.0	108.0	154.0	129.0
right	343	295	269	4.0	108.0	166.0	127.33333333333333
left	344	358	269	1.0	122.0	134.0	126.0
right	344	295	269	4.0	108.0	166.0	127.33333333333333
left	345	358	269	1.0	122.0	134.0	126.0
right	345	294	269	2.0	126.0	141.0	125.66666666666666
left	346	358	269	1.0	122.0	134.0	126.0
right	346	294	269	2.0	126.0	141.0	125.66666666666666
left	347	358	269	1.0	122.0	134.0	126.0
right	347	294	269	2.0	126.0	141.0	125.66666666666666
left	348	358	270	1.5	109.0	142.0	121.4
right	348	294	269	2.0	126.0	141.0	125.66666666666666
left	349	358	270	1.5	109.0	142.0	121.4
right	349	294	270	3.5	115.0	143.0	127.25
left	350	358	270	1.5	109.0	142.0	121.4
right	350	294	270	3.5	115.0	143.0	127.25
left	351	358	270	1.5	109.0	142.0	121.4
right	351	294	270	3.5	115.0	143.0	127.25
left	352	358	269	2.0	110.0	145.0	123.83333333333333
right	352	294	269	3.5	113.0	157.0	132.0
left	353	358	269	2.0	110.0	145.0	123.83333333333333
right	353	294	269	3.5	113.0	157.0	132.0
left	354	358	269	2.0	110.0	145.0	123.83333333333333
right	354	294	269	3.5	113.0	157.0	132.0
left	355	358	269	2.5	113.0	158.0	128.33333333333331
right	355	294	269	3.5	113.0	157.0	132.0
left	356	358	269	2.5	113.0	158.0	128.33333333333331
right	356	294	269	3.5	108.0	156.0	131.875
left	357	358	269	2.5	113.0	158.0	128.33333333333331
right	357	294	269	3.5	108.0	156.0	131.875
left	358	358	269	2.5	113.0	158.0	128.33333333333331
right	358	294	269	3.5	108.0	156.0	131.875
left	359	358	270	2.5	115.0	147.0	122.33333333333333
left	359	357	326	0.5	119.0	133.0	121.33333333333333
right	359	294	269	3.5	108.0	156.0	131.875
left	360	358	270	2.5	115.0	147.0	122.33333333333333
left	360	357	326	0.5	119.0	133.0	121.33333333333333
right	360	294	269	2.0	113.0	145.0	124.5
left	361	358	270	2.5	115.0	147.0	122.33333333333333
left	361	357	326	0.5	119.0	133.0	121.33333333333333
right	361	294	269	2.0	113.0	145.0	124.5
left	362	358	270	2.5	115.0	147.0	122.33333333333333
left	362	357	326	0.5	119.0	133.0	121.33333333333333
right	362	294	269	2.0	113.0	145.0	124.5
left	363	358	269	2.0	109.0	154.0	126.66666666666666
right	363	294	269	2.0	128.0	169.0	135.66666666666666
left	364	358	269	2.0	109.0	154.0	126.66666666666666
right	364	294	269	2.0	128.0	169.0	135.66666666666666
left	365	358	269	2.0	109.0	154.0	126.66666666666666
right	365	294	269	2.0	128.0	169.0	135.66666666666666
left	366	358	269	2.0	109.0	154.0	126.66666666666666
right	366	294	269	2.0	128.0	169.0	135.66666666666666
left	367	358	269	3.5	109.0	164.0	127.375
left	367	357	326	1.0	112.0	134.0	119.25
right	367	294	269	2.0	108.0	154.0	129.33333333333331
right	367	294	325	0.5	114.0	128.0	117.0
left	368	358	269	3.5	109.0	164.0	127.375
left	368	357	326	1.0	112.0	134.0	119.25
right	368	294	269	2.0	108.0	154.0	129.33333333333331
right	368	294	325	0.5	114.0	128.0	117.0
left	369	358	269	3.5	109.0	164.0	127.375
left	369	357	326	1.0	112.0	134.0	119.25
right	369	294	269	2.0	108.0	154.0	129.33333333333331
right	369	294	325	0.5	114.0	128.0	117.0
left	370	358	269	3.0	115.0	144.0	121.42857142857142
right	370	294	269	2.0	108.0	154.0	129.33333333333331
right	370	294	325	0.5	114.0	128.0	117.0
left	371	358	269	3.0	115.0	144.0	121.42857142857142
right	371	294	269	3.5	116.0	167.0	138.125
left	372	358	269	3.0	115.0	144.0	121.42857142857142
right	372	294	269	3.5	116.0	167.0	138.125
left	373	358	269	3.0	115.0	144.0	121.42857142857142
right	373	294	269	3.5	116.0	167.0	138.125
left	374	358	269	1.5	108.0	143.0	120.0
left	374	357	326	1.0	112.0	124.0	114.5
right	374	294	269	3.5	116.0	167.0	138.125
left	375	358	269	1.5	108.0	143.0	120.0
left	375	357	326	1.0	112.0	124.0	114.5
right	375	294	269	2.5	113.0	149.0	130.85714285714286
left	376	358	269	1.5	108.0	143.0	120.0
left	376	357	326	1.0	112.0	124.0	114.5
right	376	294	269	3.5	110.0	151.0	126.125
left	377	358	269	1.5	108.0	143.0	120.0
left	377	357	326	1.0	112.0	124.0	114.5
right	377	294	269	2.5	113.0	149.0	130.85714285714286
left	378	358	269	2.5	109.0	159.0	127.5
right	378	294	269	3.5	108.0	151.0	127.25
left	379	358	269	2.5	109.0	159.0	127.5
right	379	294	269	3.5	108.0	151.0	127.25
left	380	358	269	2.5	109.0	159.0	127.5
right	380	294	269	3.5	108.0	151.0	127.25
left	381	358	269	2.5	109.0	159.0	127.5
right	381	294	269	3.5	108.0	151.0	127.25
left	382	357	269	1.5	108.0	154.0	127.60000000000001
right	382	293	269	2.0	114.0	134.0	120.5
left	383	357	269	1.5	108.0	154.0	127.60000000000001
right	383	293	269	2.0	114.0	134.0	120.5
left	384	357	269	1.5	108.0	154.0	127.60000000000001
