camera	frame	cX	cY
right	317	222	143
right	317	9	302
left	318	397	140
left	318	198	296
right	318	222	143
right	318	9	302
left	319	397	140
left	319	198	296
right	319	222	143
right	319	9	302
left	320	397	140
left	320	198	296
right	320	222	143
right	320	9	302
left	321	397	140
left	321	198	296
right	321	222	143
right	321	9	302
left	322	397	140
left	322	198	296
right	322	222	143
right	322	9	302
left	323	397	140
left	323	198	296
right	323	222	143
right	323	9	302
left	324	397	140
left	324	198	296
right	324	222	143
right	324	9	302
left	325	397	140
left	325	198	296
right	325	222	143
right	325	9	302
left	326	397	140
left	326	198	296
right	326	222	143
right	326	9	302
left	327	397	140
left	327	198	296
right	327	222	143
right	327	9	302
left	328	397	140
left	328	198	296
right	328	222	143
right	328	9	302
left	329	397	140
left	329	198	296
right	329	222	143
right	329	9	302
left	330	397	140
left	330	198	296
right	330	222	143
right	330	9	302
left	331	397	140
left	331	198	296
right	331	222	143
right	331	9	302
left	332	397	140
left	332	198	296
right	332	222	143
right	332	9	302
left	333	397	140
left	333	198	296
right	333	222	143
right	333	9	302
left	334	397	140
left	334	198	296
right	334	222	144
right	334	9	302
left	335	397	140
left	335	198	296
right	335	222	144
right	335	9	302
left	336	397	140
left	336	198	296
right	336	222	144
right	336	9	302
left	337	397	140
left	337	198	296
right	337	222	144
right	337	9	302
left	338	397	140
left	338	198	296
right	338	222	143
right	338	9	302
left	339	397	140
left	339	198	296
right	339	222	143
right	339	9	302
left	340	397	140
left	340	198	296
right	340	222	143
right	340	9	302
left	341	397	140
left	341	198	296
right	341	222	143
right	341	9	302
left	342	397	140
left	342	198	296
right	342	222	143
right	342	9	302
left	343	397	140
left	343	198	296
right	343	222	143
right	343	9	302
left	344	397	140
left	344	198	296
right	344	222	143
right	344	9	302
left	345	397	140
left	345	198	296
right	345	222	143
right	345	9	302
left	346	397	140
left	346	198	296
right	346	222	143
right	346	9	302
left	347	397	140
left	347	198	296
right	347	222	143
right	347	9	302
left	348	397	140
left	348	198	296
right	348	222	143
right	348	9	302
left	349	397	140
left	349	198	296
right	349	222	143
right	349	9	302
left	350	397	140
left	350	198	296
right	350	222	143
right	350	9	302
left	351	396	140
left	351	198	296
right	351	222	143
