frame	cX	cY	area	minI	maxI	meanI	camera	tank	cXtank	match_status
683	2193	408	95.5	181.0	255.0	234.61739130434785	right	right_tank1	131.0	match
684	296	389	117.5	181.0	255.0	233.83916083916083	left	left_tank1	111.0	match
684	2070	397	11.5	181.0	213.0	205.47619047619045	right	right_tank1	8.0	
684	2193	409	96.5	181.0	255.0	230.1293103448276	right	right_tank1	131.0	match
685	2172	327	17.0	181.0	255.0	226.46153846153848	right	right_tank1	110.0	
685	2296	340	15.0	182.0	213.0	206.22727272727272	right	right_tank1	234.0	
685	297	389	120.5	182.0	255.0	235.4206896551724	left	left_tank1	112.0	match
685	2194	408	91.0	181.0	255.0	223.5225225225225	right	right_tank1	132.0	match
686	386	318	38.5	182.0	238.0	213.5769230769231	left	left_tank1	201.0	match
686	2295	342	21.5	183.0	231.0	214.53333333333333	right	right_tank1	233.0	match
686	297	388	91.0	181.0	252.0	224.71296296296296	left	left_tank1	112.0	match
686	2193	408	109.5	181.0	255.0	230.62790697674416	right	right_tank1	131.0	match
687	259	316	26.0	181.0	221.0	211.23684210526315	left	left_tank1	74.0	match
687	383	318	59.5	182.0	255.0	222.90789473684208	left	left_tank1	198.0	match
687	2171	329	24.5	181.0	255.0	222.7142857142857	right	right_tank1	109.0	match
687	2295	341	35.0	184.0	255.0	223.78260869565216	right	right_tank1	233.0	match
687	298	389	103.5	181.0	253.0	226.91803278688525	left	left_tank1	113.0	match
687	2194	407	48.5	181.0	253.0	219.72131147540983	right	right_tank1	132.0	match
688	260	316	44.5	181.0	255.0	228.03333333333333	left	left_tank1	75.0	match
688	382	317	97.0	181.0	253.0	223.73913043478265	left	left_tank1	197.0	match
688	2171	330	39.0	181.0	255.0	227.843137254902	right	right_tank1	109.0	match
688	2293	342	66.5	181.0	255.0	228.63414634146343	right	right_tank1	231.0	match
688	297	389	116.5	181.0	255.0	230.93525179856115	left	left_tank1	112.0	match
688	2194	406	78.5	181.0	255.0	226.29473684210527	right	right_tank1	132.0	match
689	261	315	66.0	181.0	255.0	215.74698795180723	left	left_tank1	76.0	match
689	382	319	101.0	181.0	255.0	228.76666666666665	left	left_tank1	197.0	match
